umap_n_components,umap_n_neighbors,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_epsilon,n_clusters,n_outliers,outlier_pct,silhouette,dbcv,avg_persistence,score
2,5,0.0,8,7,0.2,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.18408916531676123,0.5043138440386175
2,5,0.0,15,7,0.05,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.19125927799664239,0.5043138440386175
2,5,0.0,15,7,0.3,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.19125927799664239,0.5043138440386175
2,5,0.0,15,7,0.0,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.19125927799664239,0.5043138440386175
2,5,0.0,8,7,0.3,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.18408916531676123,0.5043138440386175
2,5,0.0,15,7,0.2,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.19125927799664239,0.5043138440386175
2,5,0.0,15,7,0.1,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.19125927799664239,0.5043138440386175
2,5,0.0,8,7,0.0,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.18408916531676123,0.5043138440386175
2,5,0.0,8,7,0.05,2,4,1.532567049808429,0.14505869150161743,0.13905043603247935,0.18408916531676123,0.5043138440386175
2,10,0.0,15,5,0.05,4,61,23.371647509578544,0.07632708549499512,0.2660263215576236,0.07876226890472879,0.5011162964281417
2,10,0.0,15,5,0.3,4,61,23.371647509578544,0.07632708549499512,0.2660263215576236,0.07876226890472879,0.5011162964281417
2,10,0.0,15,5,0.1,4,61,23.371647509578544,0.07632708549499512,0.2660263215576236,0.07876226890472879,0.5011162964281417
2,10,0.0,15,5,0.0,4,61,23.371647509578544,0.07632708549499512,0.2660263215576236,0.07876226890472879,0.5011162964281417
2,10,0.0,15,5,0.2,4,61,23.371647509578544,0.07632708549499512,0.2660263215576236,0.07876226890472879,0.5011162964281417
2,20,0.0,12,7,0.1,3,69,26.436781609195403,0.0926198959350586,0.21821734706558124,0.06830216796349364,0.49830635999810047
2,20,0.0,15,7,0.1,3,69,26.436781609195403,0.0926198959350586,0.21821734706558124,0.057800744410952315,0.49830635999810047
2,20,0.0,15,7,0.3,3,69,26.436781609195403,0.0926198959350586,0.21821734706558124,0.057800744410952315,0.49830635999810047
2,20,0.0,12,7,0.2,3,69,26.436781609195403,0.0926198959350586,0.21821734706558124,0.06830216796349364,0.49830635999810047
2,20,0.0,15,7,0.0,3,69,26.436781609195403,0.0926198959350586,0.21821734706558124,0.057800744410952315,0.49830635999810047
2,20,0.0,12,7,0.0,3,69,26.436781609195403,0.0926198959350586,0.21821734706558124,0.06830216796349364,0.49830635999810047
2,20,0.0,15,7,0.05,3,69,26.436781609195403,0.0926198959350586,0.21821734706558124,0.057800744410952315,0.49830635999810047
2,20,0.0,12,7,0.3,3,69,26.436781609195403,0.0926198959350586,0.21821734706558124,0.06830216796349364,0.49830635999810047
2,20,0.0,15,7,0.2,3,69,26.436781609195403,0.0926198959350586,0.21821734706558124,0.057800744410952315,0.49830635999810047
2,20,0.0,12,7,0.05,3,69,26.436781609195403,0.0926198959350586,0.21821734706558124,0.06830216796349364,0.49830635999810047
2,15,0.0,15,3,0.3,5,73,27.969348659003828,0.09094811230897903,0.31483847331062553,0.08578515112725565,0.49363890885258943
2,10,0.0,20,5,0.0,3,79,30.268199233716476,0.07789149880409241,0.2197616388476685,0.10141779384996326,0.4890519818922483
2,10,0.0,25,5,0.2,3,79,30.268199233716476,0.07789149880409241,0.2197616388476685,0.09543812436681569,0.4890519818922483
