umap_n_components,umap_n_neighbors,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_epsilon,n_clusters,n_outliers,outlier_pct,silhouette,dbcv,avg_persistence,score
2,10,0.0,20,3,0.05,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.16724669539281378,0.5420036960559498
2,10,0.0,20,3,0.2,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.16724669539281378,0.5420036960559498
2,10,0.0,10,3,0.3,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.16897333023305228,0.5420036960559498
2,10,0.0,10,3,0.05,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.16897333023305228,0.5420036960559498
2,10,0.0,10,3,0.0,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.16897333023305228,0.5420036960559498
2,10,0.0,10,3,0.2,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.16897333023305228,0.5420036960559498
2,10,0.0,10,3,0.1,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.16897333023305228,0.5420036960559498
2,10,0.0,12,3,0.05,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.1763257606564108,0.5420036960559498
2,10,0.0,12,3,0.0,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.1763257606564108,0.5420036960559498
2,10,0.0,12,3,0.2,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.1763257606564108,0.5420036960559498
2,10,0.0,12,3,0.1,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.1763257606564108,0.5420036960559498
2,10,0.0,12,3,0.3,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.1763257606564108,0.5420036960559498
2,10,0.0,25,3,0.05,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.09213361308655589,0.5420036960559498
2,10,0.0,25,3,0.1,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.09213361308655589,0.5420036960559498
2,10,0.0,25,3,0.0,3,13,11.403508771929824,0.11104622483253479,0.245384449687323,0.09213361308655589,0.5420036960559498
2,15,0.1,8,3,0.0,4,23,20.175438596491226,0.09928760677576065,0.34282721388614035,0.12320947035076041,0.541673149377838
2,15,0.1,8,3,0.3,4,23,20.175438596491226,0.09928760677576065,0.34282721388614035,0.12320947035076041,0.541673149377838
2,15,0.1,8,3,0.05,4,23,20.175438596491226,0.09928760677576065,0.34282721388614035,0.12320947035076041,0.541673149377838
2,15,0.1,8,3,0.1,4,23,20.175438596491226,0.09928760677576065,0.34282721388614035,0.12320947035076041,0.541673149377838
